id,name,slug,price,regular_price,sale_price,on_sale,currency,currency_symbol,in_stock,main_category,categories,primary_image,images,sku,average_rating,review_count,permalink,short_description,description
11156,Black Eye Beans 1Kg,black-eye-beans-1-kg,33.0,33.0,,False,DKK,kr.,True,Lentils and Daal,Lentils and Daal,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4366-scaled.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4366-scaled.jpg,,0.0,0,https://www.sabziwala.dk/product/black-eye-beans-1-kg/,,
11155,Brown Lentils 1 Kg,brown-lentils-1-kg,33.0,33.0,,False,DKK,kr.,True,Lentils and Daal,Lentils and Daal,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4363-scaled.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4363-scaled.jpg,,0.0,0,https://www.sabziwala.dk/product/brown-lentils-1-kg/,,TRS
11154,Green Tea Cardamom,green-tea-cardamom,45.0,45.0,,False,DKK,kr.,True,Tea & Coffe,Tea & Coffe,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4369-1-scaled.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4369-1-scaled.jpg,,0.0,0,https://www.sabziwala.dk/product/green-tea-cardamom/,,Mokhtar tea
11153,Tetley Tea 240 bags,tetley-chai-original,85.0,85.0,,False,DKK,kr.,True,Tea & Coffe,Tea & Coffe,https://www.sabziwala.dk/wp-content/uploads/2022/02/Tetley-Tea-Bags-–-240-bags.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/Tetley-Tea-Bags-–-240-bags.jpg,,0.0,0,https://www.sabziwala.dk/product/tetley-chai-original/,,Tetley
11152,Garam Masala Whole 200g,garam-masala-whole-200g,35.0,35.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4374-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4374-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/garam-masala-whole-200g/,,Heera
11149,Coriander Powder 1 Kg,coriander-powder-1kg-2,65.0,65.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/1312_4.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/1312_4.jpeg,,0.0,0,https://www.sabziwala.dk/product/coriander-powder-1kg-2/,,Heera
11147,Urid Beans 1 Kg,urid-beans-1-kg,33.0,33.0,,False,DKK,kr.,True,"Bean, Peas, Lentils and Daal","Bean, Peas, Lentils and Daal; Lentils and Daal",https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4365-scaled.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4365-scaled.jpg,,0.0,0,https://www.sabziwala.dk/product/urid-beans-1-kg/,,TRS
11146,Coriander Powder 400g,dhania-powder-400g-2,40.0,40.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4376-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4376-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/dhania-powder-400g-2/,,(Dhania) – Ground Coriander
11145,Kashmiri Pink Tea 150 g,kashmiri-pink-tea-150-g,45.0,45.0,,False,DKK,kr.,True,Tea & Coffe,Tea & Coffe,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4370.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4370.jpg,,0.0,0,https://www.sabziwala.dk/product/kashmiri-pink-tea-150-g/,,Regal
11142,Whole Dhania (Coriander Seeds) 250g,whole-dhaniya-250-g,25.0,25.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4372-scaled.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4372-scaled.jpg,,0.0,0,https://www.sabziwala.dk/product/whole-dhaniya-250-g/,,TRS
11140,Whole Mix Masala 800g,whole-mix-masala800g,85.0,85.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4378-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4378-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/whole-mix-masala800g/,,Moughal
11137,Chilli Whole 750 gram,chilli-whole-750-gram,110.0,110.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4373-scaled.jpg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4373-scaled.jpg,,0.0,0,https://www.sabziwala.dk/product/chilli-whole-750-gram/,,Chilli whole 750 gram
11135,Coriander Whole 750g,coriander-whole-750g,65.0,65.0,,False,DKK,kr.,True,Herbs and Spices,Herbs and Spices,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4380-scaled.jpeg,https://www.sabziwala.dk/wp-content/uploads/2022/02/img_4380-scaled.jpeg,,0.0,0,https://www.sabziwala.dk/product/coriander-whole-750g/,,
